"Syukuro Manabe and Klaus Hasselmann ","Physics","2021","for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
"Giorgio Parisi ","Physics","2021","for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales"
"Benjamin List and David MacMillan ","Chemistry","2021","for the development of asymmetric organocatalysis"
"David Julius and Ardem Patapoutian  ","Physiology or Medicine","2021","for their discoveries of receptors for temperature and touch"
"Abdulrazak Gurnah ","Literature","2021","for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents"
"Maria Ressa and Dmitry Muratov ","Peace","2021","for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
"David Card ","Economic Sciences","2021","for his empirical contributions to labour economics"
"Joshua D. Angrist and Guido W. Imbens ","Economic Sciences","2021","for their methodological contributions to the analysis of causal relationships"
"Roger Penrose ","Physics","2020","for the discovery that black hole formation is a robust prediction of the general theory of relativity"
"Reinhard Genzel and Andrea Ghez  ","Physics","2020","for the discovery of a supermassive compact object at the centre of our galax"
"Emmanuelle Charpentier and Jennifer A. Doudna  ","Chemistry","2020","for the development of a method for genome editing"
"Harvey J. Alter, Michael Houghton and Charles M. Rice  ","Physiology or Medicine","2020","for the discovery of Hepatitis C virus”"
"Louise Glück  ","Literature","2020","for her unmistakable poetic voice that with austere beauty makes individual existence universal”"
"World Food Programme (WFP)  ","Peace","2020","for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict"
"James Peebles ","Physics","2019","for theoretical discoveries in physical cosmology"
"Michel Mayor and Didier Queloz  ","Physics","2019","for the discovery of an exoplanet orbiting a solar-type star"
"John B. Goodenough, M. Stanley Whittingham and Akira Yoshino ","Chemistry","2019","for the development of lithium-ion batteries"
"William G. Kaelin Jr, Sir Peter J. Ratcliffe and Gregg L. Semenza  ","Physiology or Medicine","2019","for their discoveries of how cells sense and adapt to oxygen availability"
"Peter Handke  ","Literature","2019","for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience"
"Abiy Ahmed Ali  ","Peace","2019","for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea"
"Arthur Ashkin ","Physics","2018","for the optical tweezers and their application to biological systems"
"Gérard Mourou and Donna Strickland  ","Physics","2018","for their method of generating high-intensity, ultra-short optical pulses"
"Frances H. Arnold ","Chemistry","2018","for the directed evolution of enzymes"
"George P. Smith and Sir Gregory P. Winter  ","Chemistry","2018","for the phage display of peptides and antibodies"
"James P. Allison and Tasuku Honjo ","Physiology or Medicine","2018","for their discovery of cancer therapy by inhibition of negative immune regulation"
"Olga Tokarczuk  ","Literature","2018","for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life"
"Denis Mukwege and Nadia Murad ","Peace","2018","for their efforts to end the use of sexual violence as a weapon of war and armed conflict"
"William D. Nordhaus ","Economic Sciences","2018","for integrating climate change into long-run macroeconomic analysis"
"Paul M. Romer ","Economic Sciences","2018","for integrating technological innovations into long-run macroeconomic analysis"
"Rainer Weiss, Barry C. Barish and Kip S. Thorne ","Physics","2017","for decisive contributions to the LIGO detector and the observation of gravitational waves"
"Jacques Dubochet, Joachim Frank and Richard Henderson ","Chemistry","2017","for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"
"Jeffrey C. Hall, Michael Rosbash and Michael W. Young ","Physiology or Medicine","2017","for their discoveries of molecular mechanisms controlling the circadian rhythm"
"Kazuo Ishiguro ","Literature","2017","who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world"
"International Campaign to Abolish Nuclear Weapons (ICAN)  ","Peace","2017","for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons"
"Richard H. Thaler ","Economic Sciences","2017","for his contributions to behavioural economics"
"David J. Thouless, F. Duncan M. Haldane and J. Michael Kosterlitz ","Physics","2016","for theoretical discoveries of topological phase transitions and topological phases of matter"
"Jean-Pierre Sauvage, Sir J. Fraser Stoddart and Bernard L. Feringa ","Chemistry","2016","for the design and synthesis of molecular machines"
"Yoshinori Ohsumi ","Physiology or Medicine","2016","for his discoveries of mechanisms for autophagy"
"Bob Dylan ","Literature","2016","for having created new poetic expressions within the great American song tradition"
"Juan Manuel Santos ","Peace","2016","for his resolute efforts to bring the country’s more than 50-year-long civil war to an end"
"Oliver Hart and Bengt Holmström ","Economic Sciences","2016","for their contributions to contract theory"
"Takaaki Kajita and Arthur B. McDonald ","Physics","2015","for the discovery of neutrino oscillations, which shows that neutrinos have mass"
"Tomas Lindahl, Paul Modrich and Aziz Sancar ","Chemistry","2015","for mechanistic studies of DNA repair"
"William C. Campbell and Satoshi Ōmura ","Physiology or Medicine","2015","for their discoveries concerning a novel therapy against infections caused by roundworm parasites"
"Tu Youyou ","Physiology or Medicine","2015","for her discoveries concerning a novel therapy against Malaria"
"Svetlana Alexievich ","Literature","2015","for her polyphonic writings, a monument to suffering and courage in our time"
"National Dialogue Quartet  ","Peace","2015","for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011"
"Angus Deaton ","Economic Sciences","2015","for his analysis of consumption, poverty, and welfare"
"Isamu Akasaki, Hiroshi Amano and Shuji Nakamura ","Physics","2014","for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"
"Eric Betzig, Stefan W. Hell and William E. Moerner ","Chemistry","2014","for the development of super-resolved fluorescence microscopy"
